kod;marka;model;nazwa;kategoria;zastosowanie;pewnosc;stare_zastosowanie
MO7_T445607;NOKIAN;Forest King TRS 2;710/40-22.5 NOKIAN Forest King TRS 2 SF 20PR TT;leśne;Forwarder;PEWNE;Forwarder
MO7_T445618;NOKIAN;Forest King TRS 2;600/50-22.5 NOKIAN Forest King TRS 2 SF 20PR TT;leśne;Forwarder;PEWNE;Forwarder
MO7_T445395;NOKIAN;Forest King TRS L-2;650/60-26.5 NOKIAN Forest King TRS L-2 SF 20PR TT;leśne;Forwarder;PEWNE;Forwarder
MO7_T445796;NOKIAN;Ground King Loader L-3 TL;20.5R25 NOKIAN Ground King Loader L-3 TL SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445592;NOKIAN;Hakkapeliitta Loader;23.5R25 NOKIAN Hakkapeliitta Loader SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445591;NOKIAN;Hakkapeliitta Loader;20.5R25 NOKIAN Hakkapeliitta Loader SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445590;NOKIAN;Hakkapeliitta Loader;17.5R25 NOKIAN Hakkapeliitta Loader SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445691;NOKIAN;Hakkapeliitta Loader;14.00R24 NOKIAN Hakkapeliitta Loader SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445223;NOKIAN;Loader Grip L-3;23.5R25 NOKIAN Loader Grip L-3 SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445171;NOKIAN;Loader Grip L-3;20.5R25 NOKIAN Loader Grip L-3 SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445255;NOKIAN;Loader Grip L-3;17.5R25 NOKIAN Loader Grip L-3 SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445463;NOKIAN;Loader Grip 2 L-3;15.5R25 NOKIAN Loader Grip 2 L-3 SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445221;NOKIAN;HTS Tugger;315/60R22.5 NOKIAN HTS Tugger TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445522;NOKIAN;Mine L-3S;26.5-26 NOKIAN Mine L-3S 36PR TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445836;NOKIAN;Armor Gard 2 MINE;9.00-20 NOKIAN Armor Gard 2 MINE 16PR TT;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445650;NOKIAN;Armor Gard 2;11.00-20 NOKIAN Armor Gard 2 16PR TT;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445649;NOKIAN;Armor Gard 2;10.00-20 NOKIAN Armor Gard 2 16PR TT;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445770;NOKIAN;Armor Gard 2 MINE;10.00-20 NOKIAN Armor Gard 2 MINE 16PR TT;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445459;NOKIAN;Armor Gard;12.00-20 NOKIAN Armor Gard 20PR TT;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445562;NOKIAN;Armor Gard MINE;9.00-20 NOKIAN Armor Gard MINE 16PR TT;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445688;NOKIAN;Ground Kare semi-slick;620/60B34 NOKIAN Ground Kare semi-slick 178A TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445668;NOKIAN;Ground Kare;620/60B34 NOKIAN Ground Kare 178A TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445802;NOKIAN;Ground Kare;620/60B30 NOKIAN Ground Kare 176A8/171D TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445799;NOKIAN;Ground Kare;710/40-22.5 NOKIAN Ground Kare 173A8 SF TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445664;NOKIAN;Ground Kare;650/45-22.5 NOKIAN Ground Kare 175A8 SF TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445798;NOKIAN;Ground Kare;600/50-22.5 NOKIAN Ground Kare 173A8 SF TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445828;NOKIAN;Ground Kare;600/40-22.5 NOKIAN Ground Kare 161A8 SF TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445623;NOKIAN;Nordman Forest ELS;600/50-22.5 NOKIAN Nordman Forest ELS SF 16PR TT;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445820;NOKIAN;Float King VF;VF800/50R34 NOKIAN Float King VF 183D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445818;NOKIAN;Float King VF;VF710/55R34 NOKIAN Float King VF 179D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445819;NOKIAN;Float King VF;VF800/60R32 NOKIAN Float King VF 188D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445821;NOKIAN;Float King VF;VF850/50R30.5 NOKIAN Float King VF 184D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445739;NOKIAN;Float King VF;VF750/60R30.5 NOKIAN Float King VF 183D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445822;NOKIAN;Float King VF;VF710/50R26.5 NOKIAN Float King VF 173D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445826;NOKIAN;Float King VF;VF650/65R26.5 NOKIAN Float King VF 176D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445823;NOKIAN;Float King VF;VF650/55R26.5 NOKIAN Float King VF 171D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445825;NOKIAN;Float King VF;VF620/60R26.5 NOKIAN Float King VF 171D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445824;NOKIAN;Float King VF;VF600/55R26.5 NOKIAN Float King VF 167D SB TL;leśne;Forwarder;WZORZEC;Forwarder
MO7_T445759;NOKIAN;Soil King VF;VF710/75R42 NOKIAN Soil King VF 184D/181E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445768;NOKIAN;Soil King VF;VF710/70R42 NOKIAN Soil King VF 182D/179E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445808;NOKIAN;Soil King VF;VF650/85R38 NOKIAN Soil King VF 182D/179E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445830;NOKIAN;Soil King VF;VF650/65R34 NOKIAN Soil King VF 170D/167E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445815;NOKIAN;Soil King VF;VF650/60R34 NOKIAN Soil King VF 168D/165E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445760;NOKIAN;Soil King VF;VF600/70R34 NOKIAN Soil King VF 170D/167E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445769;NOKIAN;Soil King VF;VF600/70R30 NOKIAN Soil King VF 168D/165E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445813;NOKIAN;Soil King VF;VF600/70R28 NOKIAN Soil King VF 167D/164E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445672;NOKIAN;Hakkapeliitta TRI;540/70R24 NOKIAN Hakkapeliitta TRI 170D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445671;NOKIAN;Hakkapeliitta TRI;500/70R24 NOKIAN Hakkapeliitta TRI 166D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445669;NOKIAN;Hakkapeliitta TRI;460/70R24 NOKIAN Hakkapeliitta TRI 161D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445587;NOKIAN;Hakkapeliitta TRI;360/80R24 NOKIAN Hakkapeliitta TRI 138D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445636;NOKIAN;Hakkapeliitta TRI;400/70R20 NOKIAN Hakkapeliitta TRI 149A8/144D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445666;NOKIAN;Hakkapeliitta TRI;360/80R20 NOKIAN Hakkapeliitta TRI 143D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445832;NOKIAN;Hakkapeliitta TRI;400/70R18 NOKIAN Hakkapeliitta TRI 143D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445667;NOKIAN;Hakkapeliitta TRI;400/60R18 NOKIAN Hakkapeliitta TRI 143D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445665;NOKIAN;Hakkapeliitta TRI;340/80R18 NOKIAN Hakkapeliitta TRI 138D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445847;NOKIAN;Hakkapeliitta TRI;710/70R42 NOKIAN Hakkapeliitta TRI 180D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445595;NOKIAN;Hakkapeliitta TRI;650/65R42 NOKIAN Hakkapeliitta TRI 176A8/171D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445773;NOKIAN;Hakkapeliitta TRI;650/65R38 NOKIAN Hakkapeliitta TRI 175A8/170D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445564;NOKIAN;Hakkapeliitta TRI;540/80R38 NOKIAN Hakkapeliitta TRI 172A8/167D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445585;NOKIAN;Hakkapeliitta TRI;480/80R38 NOKIAN Hakkapeliitta TRI 166A8/161D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445700;NOKIAN;Hakkapeliitta TRI;600/70R34 NOKIAN Hakkapeliitta TRI 168D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445583;NOKIAN;Hakkapeliitta TRI;480/80R34 NOKIAN Hakkapeliitta TRI 164A8/159D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445588;NOKIAN;Hakkapeliitta TRI;440/80R34 NOKIAN Hakkapeliitta TRI 159A8/155D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445848;NOKIAN;Hakkapeliitta TRI;600/70R30 NOKIAN Hakkapeliitta TRI 166D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445736;NOKIAN;Hakkapeliitta TRI;540/65R30 NOKIAN Hakkapeliitta TRI 166D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445609;NOKIAN;Hakkapeliitta TRI;540/65R30 NOKIAN Hakkapeliitta TRI 161A8/156D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445754;NOKIAN;Hakkapeliitta TRI;480/80R30 NOKIAN Hakkapeliitta TRI 162A8/157D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445758;NOKIAN;Hakkapeliitta TRI;440/80R30 NOKIAN Hakkapeliitta TRI 157A8/153D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445772;NOKIAN;Hakkapeliitta TRI;540/65R28 NOKIAN Hakkapeliitta TRI 160A8/155D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445563;NOKIAN;Hakkapeliitta TRI;440/80R28 NOKIAN Hakkapeliitta TRI 156A8/151D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445584;NOKIAN;Hakkapeliitta TRI;400/80R28 NOKIAN Hakkapeliitta TRI 151A8/146D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445752;NOKIAN;Hakkapeliitta TRI;360/80R28 NOKIAN Hakkapeliitta TRI 146A8/142D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445634;NOKIAN;Hakkapeliitta TRI;440/80R24 NOKIAN Hakkapeliitta TRI 154A8/149D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445586;NOKIAN;Hakkapeliitta TRI;420/65R24 NOKIAN Hakkapeliitta TRI 151A8/146D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445582;NOKIAN;Hakkapeliitta TRI;400/80R24 NOKIAN Hakkapeliitta TRI 149A8/144D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445753;NOKIAN;Hakkapeliitta TRI;340/80R24 NOKIAN Hakkapeliitta TRI 140A8/135D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445757;NOKIAN;Hakkapeliitta TRI;300/80R24 NOKIAN Hakkapeliitta TRI 133A8/128D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445756;NOKIAN;Hakkapeliitta TRI;360/70R20 NOKIAN Hakkapeliitta TRI 136A8/131D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T845541;NOKIAN;Hakkapeliitta TRI;250/80R16 NOKIAN Hakkapeliitta TRI 119G SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T845540;NOKIAN;Hakkapeliitta TRI;250/75R16 NOKIAN Hakkapeliitta TRI 120G SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445655;NOKIAN;TRI 2;710/70R42 NOKIAN TRI 2 185A8/180D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445390;NOKIAN;TRI 2;650/65R42 NOKIAN TRI 2 176A8/171D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445518;NOKIAN;TRI 2;620/80R42 NOKIAN TRI 2 181A8/177D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445443;NOKIAN;TRI 2;650/65R38 NOKIAN TRI 2 175A8/170D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445445;NOKIAN;TRI 2;600/65R38 NOKIAN TRI 2 170A8/166D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445338;NOKIAN;TRI 2;540/80R38 NOKIAN TRI 2 172A8/167D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445377;NOKIAN;TRI 2;480/80R38 NOKIAN TRI 2 166A8/161D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445656;NOKIAN;TRI 2;600/65R34 NOKIAN TRI 2 169A8/164D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445370;NOKIAN;TRI 2;480/80R34 NOKIAN TRI 2 164A8/159D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445369;NOKIAN;TRI 2;440/80R34 NOKIAN TRI 2 159A8/155D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445657;NOKIAN;TRI 2;600/70R30 NOKIAN TRI 2 171A8/166D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445371;NOKIAN;TRI 2;540/65R30 NOKIAN TRI 2 161A8/156D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445386;NOKIAN;TRI 2;480/80R30 NOKIAN TRI 2 162A8/175D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445384;NOKIAN;TRI 2;440/80R30 NOKIAN TRI 2 157A8/153D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445442;NOKIAN;TRI 2;540/65R28 NOKIAN TRI 2 160A8/155D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445444;NOKIAN;TRI 2;480/65R28 NOKIAN TRI 2 154A8/149D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445337;NOKIAN;TRI 2;440/80R28 NOKIAN TRI 2 156A8/151D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445383;NOKIAN;TRI 2;400/80R28 NOKIAN TRI 2 151A8/146D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445579;NOKIAN;TRI 2;320/85R28 NOKIAN TRI 2 141A8/136D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445550;NOKIAN;TRI 2;360/80R28 NOKIAN TRI 2 146A8/142D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445420;NOKIAN;TRI 2;540/65R24 NOKIAN TRI 2 158A8/154D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445467;NOKIAN;TRI 2;500/70R24 NOKIAN TRI 2 SB;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445393;NOKIAN;TRI 2;460/65R24 NOKIAN TRI 2 156A8/151D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445385;NOKIAN;TRI 2;440/80R24 NOKIAN TRI 2 154A8/149D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445392;NOKIAN;TRI 2;420/65R24 NOKIAN TRI 2 151A8/146D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445372;NOKIAN;TRI 2;400/80R24 NOKIAN TRI 2 149A8/144D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445378;NOKIAN;TRI 2;360/80R24 NOKIAN TRI 2 143A8/138D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445376;NOKIAN;TRI 2;340/80R24 NOKIAN TRI 2 140A8/135D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445419;NOKIAN;TRI 2;300/80R24 NOKIAN TRI 2 133A8/128D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445389;NOKIAN;TRI 2;360/80R20 NOKIAN TRI 2 147A8/143D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445569;NOKIAN;TRI 2;360/70R20 NOKIAN TRI 2 136A8/131D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445391;NOKIAN;TRI 2;340/80R18 NOKIAN TRI 2 143A8/138D SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T845495;NOKIAN;TRI 2;250/80R16 NOKIAN TRI 2 119G SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T845539;NOKIAN;TRI 2;250/75R16 NOKIAN TRI 2 120G SB TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO7_T445722;NOKIAN;Ground King;710/75R42 NOKIAN Ground King 181D/178E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445725;NOKIAN;Ground King;710/70R42 NOKIAN Ground King 179D/175E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445727;NOKIAN;Ground King;650/65R42 NOKIAN Ground King 170D/167E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445744;NOKIAN;Ground King;710/70R38 NOKIAN Ground King 177D/174E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445743;NOKIAN;Ground King;650/85R38 NOKIAN Ground King 178D/175E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445738;NOKIAN;Ground King;650/65R38 NOKIAN Ground King 169D/166E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445765;NOKIAN;Ground King;600/65R38 NOKIAN Ground King 165D/161E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445734;NOKIAN;Ground King;580/70R38 NOKIAN Ground King 166D/163E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445732;NOKIAN;Ground King;520/70R38 NOKIAN Ground King 160D/157E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445731;NOKIAN;Ground King;650/65R34 NOKIAN Ground King 167D/164E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445730;NOKIAN;Ground King;600/70R34 NOKIAN Ground King 167D/163E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445729;NOKIAN;Ground King;600/65R34 NOKIAN Ground King 163D/159E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445726;NOKIAN;Ground King;600/70R30 NOKIAN Ground King 165D/161E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445728;NOKIAN;Ground King;540/65R30 NOKIAN Ground King 155D/152E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445763;NOKIAN;Ground King;600/70R28 NOKIAN Ground King 164D/160E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445762;NOKIAN;Ground King;600/65R28 NOKIAN Ground King 160D/156E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445737;NOKIAN;Ground King;540/65R28 NOKIAN Ground King 154D/151E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445764;NOKIAN;Ground King;480/65R28 NOKIAN Ground King 148D/145E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445735;NOKIAN;Ground King;480/70R28 NOKIAN Ground King 151D/148E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO7_T445733;NOKIAN;Ground King;420/70R28 NOKIAN Ground King 144D/141E SB TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO2_T445622;Nokian;NORDMAN FOREST TRS L-2;600/50-22.5 Nokian NORDMAN FOREST TRS L-2 16PR TT;leśne;Forwarder;PEWNE;Forwarder
MO3_4408024Ndemo;Nokian;TRI 2;440/80R24 Nokian TRI 2 154A8/149D TL demo;przemysłowe;Forwarder;WZORZEC;Forwarder
MO3_4808034Nok;Nokian;Hakkapeliitta TRI;480/80R34 Nokian Hakkapeliitta TRI 164A8/159D TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO3_4408028No;Nokian;TRI 2;440/80R28 Nokian TRI 2 156A8/151D TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO3_3408018N;Nokian;TRI 2;340/80R18 Nokian TRI 2 143A8/138D TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO3_4008024Nok;Nokian;Hakkapeliitta TRI;400/80R24 Nokian Hakkapeliitta TRI 149A8/144D TL;przemysłowe;Forwarder;WZORZEC;Forwarder
MO2_T675266;Nokian;HAKKA TRUCK;385/65R22.5 Nokian HAKKA TRUCK 160K 3PMSF M+S;ciężarowe;Forwarder;WZORZEC;Forwarder
MO2_T484420;Nokian;TR FS FOREST;18.4-34 Nokian TR FS FOREST 154A8 14PR TT;leśne;Forwarder;WZORZEC;Forwarder
MO2_T484390;Nokian;TR FS FOREST;16.9-34 Nokian TR FS FOREST 146A8 14PR;leśne;Forwarder;WZORZEC;Forwarder
MO2_T445729;Nokian;GROUND KING;600/65R34 Nokian GROUND KING 163D/159E TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO2_T445725;Nokian;GROUND KING;710/70R42 Nokian GROUND KING 179D/175E TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO2_T445626;Nokian;CT;560/60R22.5 Nokian CT 165D TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO2_T445385;Nokian;TRI 2;16.9R24 Nokian TRI 2 154A8/149D TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO2_T445372;Nokian;TRI2;15.5/80R24 Nokian TRI2 149/144A8;przemysłowe;Forwarder;WZORZEC;Forwarder
MO2_T445338;Nokian;TRI2;540/80R38 Nokian TRI2 172/167A8;przemysłowe;Forwarder;WZORZEC;Forwarder
MO2_T445337;Nokian;TRI2;440/80R28 Nokian TRI2 156/151A8 TL;rolnicze;Forwarder;WZORZEC;Forwarder
MO2_IND00139;Speedways;GRIPKING FORESTRY;18.4-34 Speedways GRIPKING FORESTRY 16PR TT;leśne;Forwarder;WZORZEC;Forwarder
MO2_IND00129;Speedways;GRIPKING FORESTRY;18.4-38 Speedways GRIPKING FORESTRY 162A2 16PR TT;leśne;Forwarder;WZORZEC;Forwarder
MO2_IND00128;Speedways;GRIPKING FORESTRY;16.9-28 Speedways GRIPKING FORESTRY 16PR TT;leśne;Forwarder;WZORZEC;Forwarder
MO3_3855518a;Alliance;601;385/55R18 Alliance 601 140A8/140B TL;rolnicze;Kombajn;PEWNE;Kombajn
MO3_6507532ALL;Alliance;A-360;650/75R32 Alliance A-360 172D/175A8 TL;rolnicze;Kombajn;PEWNE;Kombajn
MO3_8006532A-IN;Alliance;360;800/65R32 Alliance 360 181A8/178B TL;rolnicze;Kombajn;PEWNE;Kombajn
MO3_3608024A;Alliance;I-550;360/80R24 Alliance I-550 143A8/138D TL;przemysłowe;Kombajn;PEWNE;Kombajn
MO2_88200020AL-IN;Alliance;882;385/65R22.5 Alliance 882 164D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_57900004AL-IN;Alliance;579;360/70R24 Alliance 579 122A8 TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_38505605AL;Alliance;385;16.9R46 Alliance 385 162A8/159D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37750006AL-AP;Alliance;Agriflex 377 + XT;VF1000/50R25 Alliance Agriflex 377 + XT 184D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37555033AL;Alliance;375;20.8R46 Alliance 375 173A8 TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37551431;Alliance;375;1050/50R32 Alliance 375 180A8 TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37551004;Alliance;375;1000/50R25 Alliance 375 172A8/166D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37531150AL;Alliance;375;710/75R34 Alliance 375 178A8/178B TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37530112AL-AP;Alliance;375;620/75R26 Alliance 375 166A8/166B TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37250121AL;Alliance;372;VF800/70R38 Alliance 372 190A8 TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37250111AL-IG;Alliance;Agriflex 372 +;VF650/85R42 Alliance Agriflex 372 + 183D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37250105AL-IG;Alliance;Agriflex 372 +;VF900/60R32 Alliance Agriflex 372 + 170D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37250093AL-AP;Alliance;Agriflex 372 +;VF710/85R38 Alliance Agriflex 372 + 183D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37250005AL-IG;Alliance;Agriflex 372 +;VF650/75R38 Alliance Agriflex 372 + 175D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37201052AL-IN;Alliance;Agriflex 372 +;VF650/60R34 Alliance Agriflex 372 + 168D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37201051AL-IN;Alliance;Agriflex 372 +;VF540/65R30 Alliance Agriflex 372 + 161D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37201050AL-IN;Alliance;Agriflex 372 +;VF650/65R38 Alliance Agriflex 372 + 169D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37200141AL;Alliance;Agriflex 372 +;VF710/70R38 Alliance Agriflex 372 + 178D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37200137AL;Alliance;Agriflex 372 +;VF800/70R32 Alliance Agriflex 372 + 185A8 TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37200104AL;Alliance;372;IF800/70R32 Alliance 372 182A8 TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37200096AL;Alliance;372 STUBBLE GUARD;VF600/70R28 Alliance 372 STUBBLE GUARD 173D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37200095AL;Alliance;Agriflex 372 +;VF710/70R42 Alliance Agriflex 372 + 185D TL;rolnicze;Kombajn;PEWNE;Kombajn
MO2_37200025AL-AP;Alliance;Agriflex 372 +;VF710/70R38 Alliance Agriflex 372 + 181D TL;rolnicze;Kombajn;PEWNE;Kombajn
